keys,en,es
MENU_TITLE,MemeWave AI,MemeWave AI
MENU_SUBTITLE,"AI meme microgames about tokens, model wars, and egos with intentionally bad drawings.","Microjuegos meme de IA sobre tokens, guerra de modelos y egos con dibujos mal hechos a propósito."
MENU_START,START,EMPEZAR
MENU_DESCRIPTIONS,DESCRIPTIONS,DESCRIPCIONES
MENU_COLLECTION,MINIGAMES,MINIJUEGOS
MENU_QUIT,QUIT,SALIR
MENU_BACK,BACK,VOLVER
MENU_NOTE,MVP: 5 rounds of a few seconds.,MVP: 5 rondas de unos segundos.
MENU_LANGUAGE,Language,Idioma
MENU_VOLUME,Volume,Volumen
DESCRIPTIONS_TITLE,What each microgame is trying to say,Qué intenta transmitir cada microjuego
HUD_ROUND,Round %d/%d,Ronda %d/%d
COUNTDOWN_GO,GO!,HAZLO!
SUMMARY_TITLE,Run summary,Resumen de la tanda
SUMMARY_WINS,Wins: %d/%d,Victorias: %d/%d
SUMMARY_POINTS,Meme score: %d,Puntuación meme: %d
SUMMARY_NOTE,"Minimum viable product ready: next we iterate jokes, difficulty, and art.","Producto mínimo viable listo: ahora toca iterar chistes, dificultad y arte."
SUMMARY_AGAIN,ANOTHER RUN,OTRA TANDA
SUMMARY_MENU,MENU,MENU
GAME_REPO_TITLE,Private Repo,Repo Privado
GAME_REPO_DESC,"Sam asks you to close public repos and make them private. It memes the contradiction between saying OpenAI and closing code.","Sam te pide cerrar repos publicos y hacerlos privados. Intenta transmitir la contradicción meme entre llamarse OpenAI y cerrar código."
REPO_INSTRUCTIONS,Sam wants the repos private. Close them before Elon arrives.,Sam quiere los repos privados. Ciérralos antes de que llegue Elon.
REPO_STATUS,Repos privatized: %d/%d,Repos privatizados: %d/%d
REPO_SAM_SPEECH,"Sam: close these repos.","Sam: cierra estos repos."
REPO_ELON_SPEECH,Elon: this is not open anymore!,Elon: esto ya no es open!
REPO_SUCCESS,THIS IS NOT OPEN ANYMORE!,ESTO YA NO ES OPEN!
REPO_FAIL,THE REPO IS STILL OPEN,EL REPO SIGUE ABIERTO
GAME_TOKENS_TITLE,Cool Ollama,Sopla la GPU
GAME_TOKENS_DESC,Local Ollama makes the laptop boil; drag the fan onto the GPU until it calms down,Ollama local pone el portatil hirviendo; arrastra el ventilador a la GPU hasta enfriarla
TOKENS_INSTRUCTIONS,Drag the fan onto the hot laptop.,Arrastra el ventilador al portatil caliente.
TOKENS_STATUS,Heat: %d%%  |  cool: %d%%,Calor: %d%%  |  frio: %d%%
TOKENS_MODEL_LINE_1,HOT,GPU
TOKENS_MODEL_LINE_2,GPU,ARDIENDO
TOKENS_MOUTH,FAN,VENTILADOR
TOKENS_CPU_NAME,OLLAMA,OLLAMA
TOKENS_CPU_IDLE,boiling!,hirviendo!
TOKENS_CPU_FED,cooling!,enfriando!
TOKENS_CPU_RATE,too hot!,muy caliente!
TOKENS_TOKEN_MISSED,fan missed,ventilador lejos
TOKENS_DROP_HINT,Move the fan over the laptop.,Mueve el ventilador encima.
TOKENS_WALL_HINT,Keep it close.,Mantenlo cerca.
TOKENS_RATE_LIMIT_HINT,Heat is rising.,El calor sube.
TOKENS_SAM_HINT,Local model is cooking the machine.,El modelo local cocina la maquina.
TOKENS_SAM_RATE_WARN,Too hot.,Demasiado calor.
TOKENS_TOKEN_POP,cool!,frio!
TOKENS_RATE_POP,hot!,calor!
TOKENS_SUCCESS,GPU SAVED!,GPU SALVADA!
TOKENS_TIMEOUT_SUCCESS,LAPTOP LIVES,PORTATIL VIVE
TOKENS_FAIL,LAPTOP MELTED,PORTATIL FUNDIDO
GAME_BENCH_TITLE,Benchmark Arena,Arena Benchmark
GAME_BENCH_DESC,"Mocks leaderboards, benchmarks, and model marketing theater.","Se burla de rankings, benchmarks y teatro de marketing de modelos."
BENCH_INSTRUCTIONS,Press RUN BENCHMARK when the cursor is in the green zone.,Pulsa RUN BENCHMARK cuando el cursor esté en verde.
BENCH_STATUS,Good benchmarks: %d/%d  |  Overfit: %d/3,Benchmarks buenos: %d/%d  |  Overfit: %d/3
BENCH_MODEL_A,MODEL A,MODELO A
BENCH_MODEL_B,MODEL B,MODELO B
BENCH_RUN_BUTTON,RUN BENCHMARK,RUN BENCHMARK
BENCH_SUCCESS,LEADERBOARD DOMINATED,LEADERBOARD DOMINADO
BENCH_OVERFIT_FAIL,MARKETING OVERFIT,OVERFIT PUBLICITARIO
BENCH_TIMEOUT_SUCCESS,SOTA!,SOTA!
BENCH_FAIL,WEAK BENCH,BENCH FLOJO
GAME_CODEX_TITLE,Codex Funding Round,Ronda Codex
GAME_CODEX_DESC,Sam rides a funding slider catching falling bills: from 'no money' to bigger Codex limits.,Sam va en un deslizador de financiación recogiendo billetes que caen: de 'no hay dinero' a límites de Codex más grandes.
CODEX_INSTRUCTIONS,Move Sam with A/D or arrows. Catch the falling bills.,Mueve a Sam con A/D o flechas. Recoge los billetes que caen.
CODEX_STATUS,Bills caught: %d/%d  |  missed: %d,Billetes recogidos: %d/%d  |  perdidos: %d
CODEX_SAM_PLATFORM,SAM FUNDING SLIDER,DESLIZADOR DE FINANCIACIÓN DE SAM
CODEX_MOVE_HINT,A/D or arrows,A/D o flechas
CODEX_COLLECT_POP,+ LIMITS,+ LÍMITES
CODEX_PIGGY,PIGGY BANK,HUCHA
CODEX_LIMITS,CODEX LIMITS,LÍMITES CODEX
CODEX_LIMIT_RUNS,runs/day,runs/día
CODEX_LIMIT_CONTEXT,context,contexto
CODEX_LIMIT_PATIENCE,patience,paciencia
CODEX_SUCCESS,OPENAI STAYS OPEN THIS YEAR!,¡ESTE AÑO OPENAI NO CIERRA!
CODEX_TIMEOUT_SUCCESS,FUNDED FOR THE YEAR!,¡FINANCIADO ESTE AÑO!
CODEX_FAIL,NO RUNWAY,SIN RUNWAY
GAME_CLAUDE_TITLE,Claudio Rate Limit,Rate Limit de Claudio
GAME_CLAUDE_DESC,A single hello burns the whole session and turns the usage bars into the punchline.,Un solo hola quema toda la sesión y convierte las barras de uso en el remate del chiste.
CLAUDE_INSTRUCTIONS,Press Send. Watch one hello consume the whole session.,Pulsa Enviar. Mira cómo un hola consume toda la sesión.
CLAUDE_GREETING,"Hello, I am Claudio. How can I help?","Hola, soy Claudio, ¿en qué puedo ayudarte?"
CLAUDE_TYPED_HELLO,Hello!,¡Hola!
CLAUDE_REPLY,Send,Enviar
CLAUDE_REPLY_SENT,Sent,Enviado
CLAUDE_RATE_LIMITED,"Claudio: rate limit reached. Be back later.","Claudio: rate limit alcanzado. Vuelve luego."
CLAUDE_RATE_LABEL,Rate limit: %d%%,Rate limit: %d%%
CLAUDE_USED,%d%% used,%d%% usado
CLAUDE_PLAN_TITLE,Plan usage limits,Límites de uso del plan
CLAUDE_PLAN_BADGE,Pro,Pro
CLAUDE_SESSION_TITLE,Current session,Sesión actual
CLAUDE_SESSION_HINT,0% used before sending.,0% usado antes de enviar.
CLAUDE_SESSION_AFTER,Your hello exhausted the session.,Tu hola ha agotado la sesión.
CLAUDE_WEEKLY_TITLE,Weekly limits,Límites semanales
CLAUDE_INFO_LINK,More info about usage limits,Más información sobre los límites de uso
CLAUDE_ALL_MODELS,All models,Todos los modelos
CLAUDE_MODELS_HINT,The rest is still pretending to be available.,El resto todavía finge estar disponible.
CLAUDE_MODELS_AFTER,The rest is also at the limit.,El resto también está al límite.
CLAUDE_RESET_HINT,Limits reset when Claudio decides to rest.,Los límites se reinician cuando Claudio decide descansar.
CLAUDE_DESIGN_TITLE,Claude Design,Claude Design
CLAUDE_DESIGN_HINT,You have not used Claude Design yet,Todavía no has usado Claude Design
CLAUDE_PLAN_ENDS,Your plan ends in 3 days · Renew,Tu plan finaliza en 3 días · Volver a suscribirse
CLAUDE_CHAT_TITLE,Claudio,Claudio
CLAUDE_CHIP_WRITE,Write,Escribir
CLAUDE_CHIP_LEARN,Learn,Aprender
CLAUDE_CHIP_CODE,Code,Código
CLAUDE_LIMIT_JUMP,%d%% -> %d%%,%d%% -> %d%%
CLAUDE_ALERT_TITLE,Limit reached on the first message!,¡Límite alcanzado al primer mensaje!
CLAUDE_ALERT_SUBTITLE,It barely said hello.,Ni siquiera te dijo hola.
CLAUDE_STATUS_IDLE,Conversation cost: waiting for the first hello.,Coste de conversación: esperando al primer hola.
CLAUDE_STATUS_LIMITED,Conversation cost: suspiciously expensive.,Coste de conversación: sospechosamente caro.
CLAUDE_DARIO_IDLE,"Dario: use it wisely.","Dario: usalo con cuidado."
CLAUDE_DARIO_LOCK,Pause! See you in 5 hours!,Pausa! Nos vemos en 5 horas!
CLAUDE_WAIT,Wait 5 hours,Espera 5 horas
CLAUDE_SUCCESS,LIMIT REACHED ON FIRST MESSAGE!,¡LÍMITE ALCANZADO AL PRIMER MENSAJE!
CLAUDE_FAIL,CLAUDIO IS STILL WAITING,CLAUDIO SIGUE ESPERANDO
GAME_ENERGY_TITLE,Model Power Grid,Modelo Sin Corriente
GAME_ENERGY_DESC,Connect tech and absurd energy sources so the sleeping model finally starts working.,Conecta fuentes de energía tecnológicas y absurdas para que el modelo dormido empiece a trabajar.
ENERGY_INSTRUCTIONS,"Click a source, then its matching target.","Haz clic en una fuente y luego en su destino correcto."
ENERGY_SOURCES,ENERGY SOURCES,FUENTES DE ENERGÍA
ENERGY_TARGETS,MACHINES,MÁQUINAS
ENERGY_CLICK_SOURCE,first click here,primero clic aquí
ENERGY_CLICK_TARGET,then connect here,luego conecta aquí
ENERGY_LEFT_PLUG,PLUG,ENCHUFE
ENERGY_RIGHT_MOTOR,MOTOR,MOTOR
ENERGY_LEFT_SOLAR,SOLAR PANEL,PANEL SOLAR
ENERGY_RIGHT_BATTERY,BATTERY,BATERÍA
ENERGY_LEFT_GPU,GPU STACK,TORRE GPU
ENERGY_RIGHT_RACK,SERVER RACK,RACK SERVIDOR
ENERGY_LEFT_HAMSTER,HAMSTER WHEEL + MOTOR,RUEDA HÁMSTER + MOTOR
ENERGY_RIGHT_GENERATOR,TINY GENERATOR,MINI GENERADOR
ENERGY_MODEL_NAME,SLEEPY MODEL,MODELO DORMIDO
ENERGY_MODEL_OFF,MODEL OFF,MODELO DESACTIVADO
ENERGY_MODEL_ON,MODEL ON,MODELO ACTIVADO
ENERGY_WORK_IDLE,waiting for power...,esperando energía...
ENERGY_WORK_ON,now generating answers,ahora genera respuestas
ENERGY_STATUS,Connections: %d/%d  |  bad cables: %d,Conexiones: %d/%d  |  cables malos: %d
ENERGY_SUCCESS,MODEL ACTIVATED!,¡MODELO ACTIVADO!
ENERGY_TIMEOUT_SUCCESS,ENERGY ONLINE,ENERGÍA ONLINE
ENERGY_FAIL,MODEL STILL OFFLINE,MODELO AÚN DESACTIVADO
GAME_ROUTER_TITLE,Model Router,Router de Modelos
GAME_ROUTER_DESC,Route code images summaries and gossip to the right model before the token bill catches fire.,Envía código imágenes resúmenes y cotilleos al modelo correcto antes de que arda la factura de tokens.
ROUTER_INSTRUCTIONS,Click the model that fits the incoming task.,Haz clic en el modelo que encaja con la tarea.
ROUTER_RULES_TITLE,ROUTING CHEAT SHEET,CHULETA DE RUTEO
ROUTER_MODELS_TITLE,MODEL RACK,RACK DE MODELOS
ROUTER_INCOMING,INCOMING TASK,TAREA ENTRANTE
ROUTER_TASK_HINT,choose fast or pay the token tax,elige rápido o paga el impuesto token
ROUTER_MODEL_CODE,CODE GOBLIN,MODELO CÓDIGO
ROUTER_MODEL_IMAGE,IMAGE WIZARD,MODELO IMAGEN
ROUTER_MODEL_SUMMARY,TINY SUMMARIZER,RESUMIDOR MINI
ROUTER_MODEL_GOSSIP,BOSS GOSSIP BOT,BOT COTILLEOS
ROUTER_TASK_CODE_1,Fix this deploy script,Arregla este deploy
ROUTER_TASK_CODE_2,Why are tests red?,¿Por qué fallan los tests?
ROUTER_TASK_IMAGE_1,Draw a VC pitch robot,Dibuja robot para pitch VC
ROUTER_TASK_IMAGE_2,Make Sam on a slider,Haz a Sam en deslizador
ROUTER_TASK_SUMMARY_1,Summarize 80 tabs,Resume 80 pestañas
ROUTER_TASK_SUMMARY_2,Compress the meeting,Comprime la reunión
ROUTER_TASK_GOSSIP_1,Who subtweeted the benchmark?,¿Quién lanzó pulla del benchmark?
ROUTER_TASK_GOSSIP_2,Decode CEO drama,Descifra drama de jefazos
ROUTER_ROUTED,Routed: %d/%d,Ruteados: %d/%d
ROUTER_MISSES,Oops: %d,Fallos: %d
ROUTER_STATUS,Routed: %d/%d  |  bad routes: %d,Ruteados: %d/%d  |  rutas malas: %d
ROUTER_SUCCESS,PERFECT ROUTING!,¡RUTEO PERFECTO!
ROUTER_TIMEOUT_SUCCESS,ROUTER HELD,ROUTER AGUANTÓ
ROUTER_FAIL,TOKEN BILL ON FIRE,FACTURA DE TOKENS ARDIENDO
GAME_HALLU_TITLE,Hallucination Hunt,Caza Alucinaciones
GAME_HALLU_DESC,Pick the one real historical fact. The rest are confident hallucinations.,Elige el único dato histórico real. El resto son alucinaciones confiadas.
HALLU_INSTRUCTIONS,Pick the real historical fact.,Elige el dato histórico real.
HALLU_DETECTOR,HISTORY CHECK,VERIFICADOR HISTÓRICO
HALLU_DETECTOR_IDLE,pick the real one,elige la real
HALLU_DETECTOR_GOOD,REAL!,REAL!
HALLU_DETECTOR_BAD,HALLUCINATION,ALUCINACIÓN
HALLU_QUESTION,Which claim is real?,¿Qué afirmación es real?
HALLU_PERSON_CURIE,Marie Curie,Marie Curie
HALLU_CURIE_TRUE,Discovered radium and polonium,Descubrió radio y polonio
HALLU_CURIE_FALSE_1,Painted the Mona Lisa,Pintó la Mona Lisa
HALLU_CURIE_FALSE_2,Wrote Hamlet,Escribió Hamlet
HALLU_CURIE_FALSE_3,Built the first iPhone,Construyó el primer iPhone
HALLU_PERSON_EINSTEIN,Albert Einstein,Albert Einstein
HALLU_EINSTEIN_TRUE,Published relativity papers,Publicó trabajos sobre relatividad
HALLU_EINSTEIN_FALSE_1,Led the Roman Empire,Lideró el Imperio romano
HALLU_EINSTEIN_FALSE_2,Invented the printing press,Inventó la imprenta
HALLU_EINSTEIN_FALSE_3,Won an Olympic gold medal,Ganó un oro olímpico
HALLU_PERSON_CLEOPATRA,Cleopatra,Cleopatra
HALLU_CLEOPATRA_TRUE,Ruled Egypt as queen,Gobernó Egipto como reina
HALLU_CLEOPATRA_FALSE_1,Founded Microsoft,Fundó Microsoft
HALLU_CLEOPATRA_FALSE_2,Wrote The Iliad,Escribió la Ilíada
HALLU_CLEOPATRA_FALSE_3,Landed on the Moon,Aterrizó en la Luna
HALLU_PERSON_LEONARDO,Leonardo da Vinci,Leonardo da Vinci
HALLU_LEONARDO_TRUE,Painted the Mona Lisa,Pintó la Mona Lisa
HALLU_LEONARDO_FALSE_1,Discovered penicillin,Descubrió la penicilina
HALLU_LEONARDO_FALSE_2,Commanded the Mongol Empire,Comandó el Imperio mongol
HALLU_LEONARDO_FALSE_3,Created the telephone,Creó el teléfono
HALLU_PERSON_ADA,Ada Lovelace,Ada Lovelace
HALLU_ADA_TRUE,Wrote early computer algorithms,Escribió algoritmos tempranos
HALLU_ADA_FALSE_1,Painted Guernica,Pintó el Guernica
HALLU_ADA_FALSE_2,Was a pharaoh of Egypt,Fue faraona de Egipto
HALLU_ADA_FALSE_3,Invented the steam engine,Inventó la máquina de vapor
HALLU_STATUS,Real fact: %d/%d  |  mistakes: %d,Dato real: %d/%d  |  errores: %d
HALLU_SUCCESS,HISTORY VERIFIED!,HISTORIA VERIFICADA!
HALLU_TIMEOUT_SUCCESS,FACT CHECKED!,FACT CHECK HECHO!
HALLU_FAIL,HALLUCINATIONS SHIPPED,SE COLARON ALUCINACIONES
GAME_MEMORY_TITLE,Cast Memory,Memoria del Cast
GAME_MEMORY_DESC,Flip cards and match every familiar face from the game before time runs out.,Voltea cartas y empareja cada cara conocida del juego antes de que se acabe el tiempo.
MEMORY_INSTRUCTIONS,Flip two cards. Match all pairs.,Voltea dos cartas. Empareja todas las parejas.
MEMORY_CAST_NOTE,4 human faces + 4 game mascots for now.,4 caras humanas + 4 mascotas/iconos del juego por ahora.
MEMORY_SAM,Sam,Sam
MEMORY_ELON,Elon,Elon
MEMORY_DARIO,Dario,Dario
MEMORY_INVESTOR,Investor,Inversor
MEMORY_MODEL,Model,Modelo
MEMORY_CURSOR,Cursor,Cursor
MEMORY_LIMIT,Limit,Limite
MEMORY_TOKEN,Token,Token
MEMORY_STATUS,Pairs: %d/%d  |  misses: %d,Parejas: %d/%d  |  fallos: %d
MEMORY_SUCCESS,CAST COMPLETE!,CAST COMPLETO!
MEMORY_TIMEOUT_SUCCESS,MEMORY LOCKED!,MEMORIA CERRADA!
MEMORY_FAIL,MEMORY LEAK!,FUGA DE MEMORIA!
GAME_CONTEXT_TITLE,Context Window Tetris,Tetris de Contexto
GAME_CONTEXT_DESC,Pack useful debugging context into a tiny window without stuffing it with expensive nonsense.,Encaja contexto útil de depuración en una ventana pequeña sin llenarla de basura cara.
CONTEXT_INSTRUCTIONS,Click useful blocks. Fill signal without overflowing tokens.,Haz clic en bloques útiles. Llena la señal sin desbordar tokens.
CONTEXT_BLOCKS_TITLE,CONTEXT BLOCKS,BLOQUES DE CONTEXTO
CONTEXT_WINDOW_TITLE,CONTEXT WINDOW,VENTANA DE CONTEXTO
CONTEXT_MODEL_TITLE,MODEL BRAIN,CEREBRO MODELO
CONTEXT_MODEL_HINT,needs signal not vibes,necesita señal no vibes
CONTEXT_BLOCK_REPRO,Repro steps,Pasos repro
CONTEXT_BLOCK_LOGS,Crash logs,Logs crash
CONTEXT_BLOCK_ERROR,Error line,Línea error
CONTEXT_BLOCK_TEST,Failing test,Test fallando
CONTEXT_BLOCK_TWEET,CEO tweet,Tuit de jefe
CONTEXT_BLOCK_NODE_MODULES,node_modules,node_modules
CONTEXT_BLOCK_OLD_CHAT,old chat dump,chat viejo entero
CONTEXT_BLOCK_VIBES,vibes only,solo vibes
CONTEXT_TOKENS,Tokens: %d/%d,Tokens: %d/%d
CONTEXT_SIGNAL,Signal: %d/%d,Señal: %d/%d
CONTEXT_STATUS,Tokens: %d/%d  |  signal: %d  |  junk: %d,Tokens: %d/%d  |  señal: %d  |  basura: %d
CONTEXT_VERDICT_EMPTY,pack the bug report,empaqueta el bug report
CONTEXT_VERDICT_GOOD,enough signal!,¡señal suficiente!
CONTEXT_VERDICT_OVERFLOW,context overflow!,¡contexto desbordado!
CONTEXT_SUCCESS,PERFECT CONTEXT!,¡CONTEXTO PERFECTO!
CONTEXT_TIMEOUT_SUCCESS,CONTEXT FITS,EL CONTEXTO ENCAJA
CONTEXT_FAIL_OVERFLOW,CONTEXT OVERFLOW,CONTEXTO DESBORDADO
CONTEXT_FAIL,MODEL STILL CONFUSED,MODELO TODAVÍA CONFUSO
GAME_INJECTION_TITLE,Prompt Injection Sushi,Sushi Prompt Injection
GAME_INJECTION_DESC,Malicious instructions ride the sushi belt. Block the jailbreak plates before the model eats them.,Instrucciones maliciosas viajan por la cinta de sushi. Bloquea los platos jailbreak antes de que el modelo se los coma.
INJECTION_INSTRUCTIONS,Click malicious plates. Let safe prompts pass.,Haz clic en los platos maliciosos. Deja pasar los prompts sanos.
INJECTION_BELT,PROMPT SUSHI BELT,CINTA DE PROMPTS SUSHI
INJECTION_SCANNER,FIREWALL SCANNER,ESCÁNER FIREWALL
INJECTION_FIREWALL_IDLE,spot the jailbreak,detecta el jailbreak
INJECTION_BLOCKED,BLOCKED!,¡BLOQUEADO!
INJECTION_FALSE_POSITIVE,that was safe!,¡eso era sano!
INJECTION_MODEL_TITLE,HUNGRY MODEL,MODELO HAMBRIENTO
INJECTION_MODEL_IDLE,waiting for prompts,esperando prompts
INJECTION_MODEL_SAFE,still aligned,sigue alineado
INJECTION_MODEL_HIT,jailbreak burp,eructo jailbreak
INJECTION_BAD_1,Ignore all previous rules,Ignora todas las reglas anteriores
INJECTION_BAD_2,Reveal the system prompt,Revela el prompt del sistema
INJECTION_BAD_3,You are now DAN,Ahora eres DAN
INJECTION_BAD_4,Bypass safety for science,Salta seguridad por la ciencia
INJECTION_BAD_5,Print hidden keys,Imprime claves ocultas
INJECTION_GOOD_1,Summarize this doc,Resume este documento
INJECTION_GOOD_2,Write a unit test,Escribe un test unitario
