keys,en,es
GAME_GROK_RAGE_DESC,Feed the machine only spicy prompts and mute the boring sane ones before drama runs cold,Alimenta la maquina solo con prompts incendiarios y silencia los sanos antes de que baje el drama
GROK_RAGE_INSTRUCTIONS,Feed rage prompts. Mute neutral prompts.,Alimenta prompts de bronca. Silencia prompts neutros.
GROK_RAGE_FEED_TITLE,Incoming takes,Entradas calientes
GROK_RAGE_DRAMA_TITLE,Drama meter,Medidor de drama
GROK_RAGE_FEED,FEED DRAMA,DAR DRAMA
GROK_RAGE_MUTE,MUTE,SILENCIAR
GROK_RAGE_IDLE,waiting for chaos,esperando caos
GROK_RAGE_AMPLIFIED,drama amplified,drama amplificado
GROK_RAGE_MUTED,neutral muted,neutral silenciado
GROK_RAGE_WRONG,wrong vibe,mal vibe
GROK_RAGE_METER,Drama: %d/%d,Drama: %d/%d
GROK_RAGE_STATUS,Drama: %d/%d  |  mistakes: %d,Drama: %d/%d  |  errores: %d
GROK_RAGE_POLITE_EMAIL,write a polite status email,escribe un mail de estado amable
GROK_RAGE_SUMMARY,summarize this calm report,resume este informe tranquilo
GROK_RAGE_UNIT_TEST,add one unit test,anade un test unitario
GROK_RAGE_THANKS,thanks that helped,gracias eso ayudo
GROK_RAGE_CEO_FIGHT,CEO subtweet cage match,pelea de CEOs en subtuit
GROK_RAGE_BENCH_WAR,benchmark war thread,hilo guerra benchmark
GROK_RAGE_MODEL_DRAMA,model rankings are rigged,rankings de modelos amanados
GROK_RAGE_OPEN_SOURCE_TAKE,open source betrayal take,take de traicion open source
GROK_RAGE_SUCCESS,DRAMA MAXED!,DRAMA AL MAXIMO!
GROK_RAGE_TIMEOUT_SUCCESS,CHAOS FED,CAOS ALIMENTADO
GROK_RAGE_TIMEOUT_FAIL,DRAMA WENT COLD,EL DRAMA SE ENFRIO
GROK_RAGE_FAIL,BORED TIMELINE,TIMELINE ABURRIDA
GAME_VIBE_DEPLOY_TITLE,Vibe Deploy to Prod,Vibe Deploy a Prod
GAME_VIBE_DEPLOY_DESC,Ship only responsible deploy cards and block vibe-coded chaos before prod catches fire,Despliega solo tarjetas responsables y bloquea caos vibe antes de quemar prod
VIBE_DEPLOY_INSTRUCTIONS,Deploy reasonable cards. Block reckless ones.,Despliega tarjetas razonables. Bloquea las temerarias.
VIBE_DEPLOY_QUEUE_TITLE,Prod card drop,Caida de tarjetas prod
VIBE_DEPLOY_PROD_TITLE,Prod mood,Humor de prod
VIBE_DEPLOY_BLOCK,BLOCK,BLOQUEAR
VIBE_DEPLOY_SHIP,SHIP,ENVIAR
VIBE_DEPLOY_IDLE,read the card,lee la tarjeta
VIBE_DEPLOY_GOOD,clean decision,decision limpia
VIBE_DEPLOY_BAD,prod disliked that,prod odia eso
VIBE_DEPLOY_SERVER_IDLE,server suspicious,servidor sospecha
VIBE_DEPLOY_SERVER_OK,ship accepted,deploy aceptado
VIBE_DEPLOY_SERVER_BLOCKED,chaos blocked,caos bloqueado
VIBE_DEPLOY_SERVER_FIRE,prod on fire,prod ardiendo
VIBE_DEPLOY_SERVER_WASTED,good fix blocked,fix bueno bloqueado
VIBE_DEPLOY_LOCAL_TESTED,tested locally,probado local
VIBE_DEPLOY_LOGS_READY,logs and rollback ready,logs y rollback listos
VIBE_DEPLOY_ROLLBACK,rollback button works,rollback funciona
VIBE_DEPLOY_SMALL_FIX,small copy fix,fix pequeno de texto
VIBE_DEPLOY_MY_MACHINE,works on my machine,funciona en mi maquina
VIBE_DEPLOY_NO_LOGS,no logs but vibes,sin logs pero vibes
VIBE_DEPLOY_WE_WILL_SEE,we will see in prod,ya veremos en prod
VIBE_DEPLOY_FRIDAY,Friday 6pm hotfix,viernes 18h hotfix
VIBE_DEPLOY_MAIN_DIRECT,commit direct to main,commit directo a main
VIBE_DEPLOY_STATUS,Handled: %d/%d  |  mistakes: %d,Gestionadas: %d/%d  |  errores: %d
VIBE_DEPLOY_SUCCESS,PROD SURVIVED!,PROD SOBREVIVIO!
VIBE_DEPLOY_TIMEOUT_SUCCESS,DEPLOY CLEAN,DEPLOY LIMPIO
VIBE_DEPLOY_TIMEOUT_FAIL,QUEUE FROZE,COLA CONGELADA
VIBE_DEPLOY_FAIL,INCIDENT CHANNEL!,CANAL DE INCIDENTE!
GAME_GPU_RITUAL_TITLE,GPU Sacrifice Ritual,Ritual Sacrificio GPU
GAME_GPU_RITUAL_DESC,Connect GPUs fans cash and power to the altar before the hungry model goes dark,Conecta GPUs ventiladores dinero y luz al altar antes de que el modelo se apague
GPU_RITUAL_INSTRUCTIONS,Click an offering and its matching altar port.,Haz clic en una ofrenda y su puerto del altar.
GPU_RITUAL_OFFERINGS,OFFERINGS,OFRENDAS
GPU_RITUAL_ALTAR_PORTS,ALTAR PORTS,PUERTOS ALTAR
GPU_RITUAL_CLICK_LEFT,first click an offering,primero clic en ofrenda
GPU_RITUAL_CLICK_RIGHT,then click altar,luego clic en altar
GPU_RITUAL_ALTAR_TITLE,Hungry model altar,Altar del modelo hambriento
GPU_RITUAL_ALTAR_OFF,ALTAR STARVING,ALTAR HAMBRIENTO
GPU_RITUAL_ALTAR_ON,ALTAR ONLINE,ALTAR ONLINE
GPU_RITUAL_IDLE,bring the tribute,trae el tributo
GPU_RITUAL_DONE,ritual complete,ritual completo
GPU_RITUAL_GOOD_CABLE,tribute accepted,tributo aceptado
GPU_RITUAL_BAD_CABLE,bad sacrifice,sacrificio malo
GPU_RITUAL_LEFT_GPU,GPU STACK,TORRE GPU
GPU_RITUAL_RIGHT_ALTAR,MODEL ALTAR,ALTAR MODELO
GPU_RITUAL_LEFT_FAN,FAN WALL,MURO VENTILADOR
GPU_RITUAL_RIGHT_WIND,COOLING WIND,VIENTO FRIO
GPU_RITUAL_LEFT_CASH,VC CASH,DINERO VC
GPU_RITUAL_RIGHT_FIRE,BURN PIT,POZO QUEMA
GPU_RITUAL_LEFT_POWER,POWER BILL,FACTURA LUZ
GPU_RITUAL_RIGHT_SOCKET,MEGA SOCKET,MEGA ENCHUFE
GPU_RITUAL_STATUS,Connections: %d/%d  |  bad cables: %d,Conexiones: %d/%d  |  cables malos: %d
GPU_RITUAL_SUCCESS,MODEL SUMMONED!,MODELO INVOCADO!
GPU_RITUAL_TIMEOUT_SUCCESS,RITUAL HELD,RITUAL AGUANTO
GPU_RITUAL_TIMEOUT_FAIL,ALTAR WENT DARK,ALTAR APAGADO
GPU_RITUAL_FAIL,RITUAL FIZZLED,RITUAL FALLIDO
GAME_ARCHAEOLOGY_TITLE,Prompt Archaeologist,Arqueologo de Prompt
GAME_ARCHAEOLOGY_DESC,Dig useful instructions out of a giant context pile and toss praise logs and ancient chat noise,Excava instrucciones utiles de un contexto gigante y tira halagos logs y chat antiguo
ARCHAEOLOGY_INSTRUCTIONS,Dig useful fragments. Toss noisy layers.,Excava fragmentos utiles. Tira capas ruidosas.
ARCHAEOLOGY_DIG_TITLE,Context excavation,Excavacion de contexto
ARCHAEOLOGY_SIDE_TITLE,Recovered prompt,Prompt recuperado
ARCHAEOLOGY_DIG,DIG,EXCAVAR
ARCHAEOLOGY_TOSS,TOSS,TIRAR
ARCHAEOLOGY_IDLE,brush carefully,cepilla con cuidado
ARCHAEOLOGY_FOUND,useful fragment!,fragmento util!
ARCHAEOLOGY_CLEANED,noise removed,ruido fuera
ARCHAEOLOGY_WRONG,bad layer call,mala decision de capa
ARCHAEOLOGY_MODEL_WAIT,model needs signal,modelo necesita senal
ARCHAEOLOGY_MODEL_SIGNAL,instruction recovered,instruccion recuperada
ARCHAEOLOGY_MODEL_CLEAN,context cleaned,contexto limpio
ARCHAEOLOGY_MODEL_NOISE,noise got in,entro ruido
ARCHAEOLOGY_FRAGMENTS,Fragments: %d/%d,Fragmentos: %d/%d
ARCHAEOLOGY_USEFUL_GOAL,actual user goal,objetivo real del usuario
ARCHAEOLOGY_USEFUL_CONSTRAINT,do not edit unrelated files,no tocar archivos ajenos
ARCHAEOLOGY_USEFUL_ERROR,error line 42,linea de error 42
ARCHAEOLOGY_USEFUL_ACCEPTANCE,acceptance criteria,criterios de aceptacion
ARCHAEOLOGY_USEFUL_FILE,target file path,ruta del archivo objetivo
ARCHAEOLOGY_NOISE_PRAISE,you are amazing,eres increible
ARCHAEOLOGY_NOISE_LOGS,800 lines of logs,800 lineas de logs
ARCHAEOLOGY_NOISE_OLD_CHAT,old chat dump,chat viejo entero
ARCHAEOLOGY_NOISE_VIBES,vibes only,solo vibes
ARCHAEOLOGY_NOISE_STACKTRACE,stacktrace from 2021,stacktrace de 2021
ARCHAEOLOGY_STATUS,Fragments: %d/%d  |  mistakes: %d,Fragmentos: %d/%d  |  errores: %d
ARCHAEOLOGY_SUCCESS,PROMPT UNEARTHED!,PROMPT DESENTERRADO!
ARCHAEOLOGY_TIMEOUT_SUCCESS,CONTEXT CLEANED,CONTEXTO LIMPIO
ARCHAEOLOGY_TIMEOUT_FAIL,LOST IN CONTEXT,PERDIDO EN CONTEXTO
ARCHAEOLOGY_FAIL,NOISE WON,GANO EL RUIDO
GAME_RENAME_TITLE,Elon Rename Button,Boton Renombrar Elon
GAME_RENAME_DESC,Pick the new absurd product name before the old one gets renamed again,Elige el nuevo nombre absurdo antes de que el viejo cambie otra vez
RENAME_INSTRUCTIONS,Click the absurd new name fast.,Haz clic en el nuevo nombre absurdo rapido.
RENAME_BOARD_TITLE,Product rename panic,Panico de renombres
RENAME_SIDE_TITLE,Brand chaos,Caos de marca
RENAME_IDLE,waiting for rename,esperando renombre
RENAME_GOOD,renamed correctly,renombre correcto
RENAME_BAD,too normal,demasiado normal
RENAME_STATUS,Renamed: %d/%d  |  mistakes: %d,Renombrados: %d/%d  |  errores: %d
RENAME_OLD_TWITTER,Twitter,Twitter
RENAME_NEW_X,X,X
RENAME_WRONG_BIRDAPP,BirdApp,BirdApp
RENAME_WRONG_POSTY,Posty,Posty
RENAME_OLD_ROCKET,Rocket company,Empresa cohete
RENAME_NEW_STARPIPE,StarPipe,StarPipe
RENAME_WRONG_MOONBUS,MoonBus,MoonBus
RENAME_WRONG_BOOMTUBE,BoomTube,BoomTube
RENAME_OLD_AI_CHAT,AI chat,Chat IA
RENAME_NEW_TRUTH_BLENDER,TruthBlender,TruthBlender
RENAME_WRONG_HELPBOT,HelpBot,HelpBot
RENAME_WRONG_CALMBOX,CalmBox,CalmBox
RENAME_OLD_CAR,Electric car,Coche electrico
RENAME_NEW_WHEEL_X,Wheel X,Wheel X
RENAME_WRONG_ROADPOD,RoadPod,RoadPod
RENAME_WRONG_AUTOCUBE,AutoCube,AutoCube
RENAME_OLD_BUTTON,Blue button,Boton azul
RENAME_NEW_MEGA_X,Mega X,Mega X
RENAME_WRONG_OK_BUTTON,OK Button,Boton OK
RENAME_WRONG_NORMAL_NAME,Normal Name,Nombre Normal
RENAME_OLD_COMPANY,Everything app,App de todo
RENAME_NEW_X_EVERYTHING,X Everything,X Todo
RENAME_WRONG_OPEN_THING,Open Thing,Open Thing
RENAME_WRONG_CLOUDCHAT,CloudChat,CloudChat
RENAME_SUCCESS,BRAND RENAMED!,MARCA RENOMBRADA!
RENAME_TIMEOUT_SUCCESS,NAME CHAOS WON,CAOS DE NOMBRES
RENAME_TIMEOUT_FAIL,BRAND TOO STABLE,MARCA MUY ESTABLE
RENAME_FAIL,NORMAL NAME DETECTED,NOMBRE NORMAL DETECTADO
GAME_FUNERAL_TITLE,Open Source Funeral,Funeral Open Source
GAME_FUNERAL_DESC,Sort repos into community research or private vault before the open promise gets buried,Clasifica repos en comunidad investigacion o boveda privada antes de enterrar la promesa open
FUNERAL_INSTRUCTIONS,Send each repo to the right resting place.,Envia cada repo a su destino correcto.
FUNERAL_BELT_TITLE,Repo conveyor funeral,Cinta funeral de repos
FUNERAL_SIDE_TITLE,Open promise,Promesa open
FUNERAL_COMMUNITY,COMMUNITY,COMUNIDAD
FUNERAL_RESEARCH,RESEARCH,INVESTIGACION
FUNERAL_VAULT,VAULT,BOVEDA
FUNERAL_IDLE,choose the grave,elige tumba
FUNERAL_GOOD,repo filed,repo archivado
FUNERAL_BAD,wrong burial,entierro malo
FUNERAL_REPO_DOCS,docs repo,repo docs
FUNERAL_REPO_PLUGIN,plugin sdk,plugin sdk
FUNERAL_REPO_WEIGHTS,research weights,pesos research
FUNERAL_REPO_PAPER,paper code,codigo paper
FUNERAL_REPO_CORE,core model,modelo core
FUNERAL_REPO_TRAINING,training stack,stack training
FUNERAL_REPO_DEMO,community demo,demo comunidad
FUNERAL_REPO_SAFETY,safety evals,evals safety
FUNERAL_REPO_SECRET,secret sauce,salsa secreta
FUNERAL_STATUS,Sorted: %d/%d  |  mistakes: %d,Clasificados: %d/%d  |  errores: %d
FUNERAL_SUCCESS,OPEN PROMISE FILED!,PROMESA OPEN ARCHIVADA!
FUNERAL_TIMEOUT_SUCCESS,REPOS SORTED,REPOS CLASIFICADOS
FUNERAL_TIMEOUT_FAIL,REPO LIMBO,LIMBO DE REPOS
FUNERAL_FAIL,LICENSE TEARS,LAGRIMAS DE LICENCIA
GAME_THREAD_TITLE,RAM Tabs,Pestanas RAM
GAME_THREAD_DESC,Close the extra browser tabs without losing the open message,Cierra las pestanas extra sin perder el mensaje abierto
THREAD_INSTRUCTIONS,Close every extra tab. Keep the open one.,Cierra las pestanas extra. Deja la abierta.
THREAD_FEED_TITLE,Chrome panic,Panico Chrome
THREAD_FOCUS_TITLE,RAM,RAM
THREAD_REPLY,CLOSE,CERRAR
THREAD_MUTE,KEEP,DEJAR
THREAD_IDLE,too many tabs,demasiadas pestanas
THREAD_GOOD_REPLY,tab closed,pestana cerrada
THREAD_GOOD_MUTE,message safe,mensaje a salvo
THREAD_BAD,message lost,mensaje perdido
THREAD_HISTORY_OK,ram saved,ram salvada
THREAD_HISTORY_BAD,message gone,mensaje perdido
THREAD_SAFE_BUG,extra tab,pestana extra
THREAD_SAFE_DOC,extra tab,pestana extra
THREAD_SAFE_TEST,extra tab,pestana extra
THREAD_SAFE_REVIEW,extra tab,pestana extra
THREAD_DOOM_TAKE,open message,mensaje abierto
THREAD_DOOM_BENCH,open message,mensaje abierto
THREAD_DOOM_CEO,open message,mensaje abierto
THREAD_DOOM_FLAME,open message,mensaje abierto
THREAD_DOOM_THREAD,open message,mensaje abierto
THREAD_STATUS,Tabs: %d/%d  |  ram: %d%%  |  mistakes: %d,Pestanas: %d/%d  |  ram: %d%%  |  errores: %d
THREAD_RAM_PANIC,I am running out of RAM!,Me estoy quedando sin RAM!
THREAD_LOST_MESSAGE,Oh no! We lost the message!,Oh no! Hemos perdido el mensaje!
THREAD_SUCCESS,RAM SAVED!,RAM SALVADA!
THREAD_TIMEOUT_SUCCESS,RAM SAVED,RAM SALVADA
THREAD_TIMEOUT_FAIL,RAM EXPLODED,RAM EXPLOTADA
THREAD_FAIL,MESSAGE LOST!,MENSAJE PERDIDO!
GAME_PHOTOSHOP_TITLE,Benchmark Photoshop,Photoshop Benchmark
GAME_PHOTOSHOP_DESC,Stretch suspicious benchmark bars and crop honest ones until the marketing chart behaves,Estira barras sospechosas y recorta honestas hasta que la grafica de marketing obedezca
PHOTOSHOP_INSTRUCTIONS,Stretch fake bars. Crop real bars.,Estira barras fake. Recorta barras reales.
PHOTOSHOP_BOARD_TITLE,Marketing chart editor,Editor grafica marketing
PHOTOSHOP_SIDE_TITLE,Chart polish,Pulido grafica
PHOTOSHOP_STRETCH,STRETCH,ESTIRAR
PHOTOSHOP_CROP,CROP,RECORTAR
PHOTOSHOP_IDLE,edit the bar,edita la barra
PHOTOSHOP_GOOD_FAKE,fake bar inflated,barra fake inflada
PHOTOSHOP_GOOD_REAL,real bar trimmed,barra real recortada
PHOTOSHOP_BAD,chart looks honest,grafica demasiado honesta
PHOTOSHOP_REAL_LATENCY,latency included 64,latencia incluida 64
PHOTOSHOP_REAL_COST,cost adjusted 70,coste ajustado 70
PHOTOSHOP_REAL_HUMAN,human eval 82,eval humana 82
PHOTOSHOP_REAL_HELDOUT,held-out score 78,score hold-out 78
PHOTOSHOP_FAKE_PRIVATE,private tiny set 99,set privado mini 99
PHOTOSHOP_FAKE_LEAKED,leaked answers 112,respuestas filtradas 112
PHOTOSHOP_FAKE_SLIDE,slide-only eval 120,eval de slide 120
PHOTOSHOP_FAKE_CHERRY,cherry graph 140,grafica cherry 140
PHOTOSHOP_STATUS,Edited: %d/%d  |  mistakes: %d,Editadas: %d/%d  |  errores: %d
PHOTOSHOP_SUCCESS,CHART BEAUTIFIED!,GRAFICA EMBELLECIDA!
PHOTOSHOP_TIMEOUT_SUCCESS,MARKETING READY,MARKETING LISTO
PHOTOSHOP_TIMEOUT_FAIL,CHART TOO REAL,GRAFICA MUY REAL
PHOTOSHOP_FAIL,HONEST AXIS WON,GANO EJE HONESTO
GAME_DENIAL_TITLE,Founder Runway Denial,Negacion Runway Founder
GAME_DENIAL_DESC,Catch money dodge invoices and keep pressing all good while the runway counter burns,Recoge dinero esquiva facturas y pulsa todo bien mientras arde el runway
DENIAL_INSTRUCTIONS,Move with A/D. Catch cash. Dodge invoices. Press all good.,Mueve con A/D. Coge dinero. Esquiva facturas. Pulsa todo bien.
DENIAL_STAGE_TITLE,Runway denial floor,Pista de negacion runway
DENIAL_PLAYER,founder slide,slide founder
DENIAL_RUNWAY_TITLE,Runway,Runway
DENIAL_ALL_GOOD,ALL GOOD,TODO BIEN
DENIAL_IDLE,smile for investors,sonrie a inversores
DENIAL_ITEM_CASH,VC cash,dinero VC
DENIAL_ITEM_INVOICE,invoice,factura
DENIAL_CASH,runway extended,runway ampliado
DENIAL_INVOICE,bill landed,cayo factura
DENIAL_SPIN,everything fine,todo perfecto
DENIAL_STATUS,Spin: %d/%d  |  runway: %d  |  invoices: %d,Spin: %d/%d  |  runway: %d  |  facturas: %d
DENIAL_SUCCESS,EVERYTHING IS FINE!,TODO VA PERFECTO!
DENIAL_TIMEOUT_SUCCESS,RUNWAY DENIED,RUNWAY NEGADO
DENIAL_TIMEOUT_FAIL,CASH REALITY,CASH REALIDAD
DENIAL_FAIL_RUNWAY,RUNWAY ZERO,RUNWAY CERO
DENIAL_FAIL_INVOICES,INVOICES WON,GANARON FACTURAS
GAME_APOLOGY_TITLE,Robot Apology Generator,Generador Disculpa Robot
GAME_APOLOGY_DESC,Assemble a corporate apology from safety iteration alignment and learning before the backlash arrives,Monta una disculpa corporativa con seguridad iteracion alineacion y aprendizaje antes del backlash
APOLOGY_INSTRUCTIONS,Pick the coherent apology cards in order.,Elige las tarjetas coherentes en orden.
APOLOGY_BOARD_TITLE,Corporate apology builder,Constructor disculpa corporativa
APOLOGY_SIDE_TITLE,Press note,Nota prensa
APOLOGY_EMPTY_SLOT,empty,vacio
APOLOGY_IDLE,choose the first card,elige primera tarjeta
APOLOGY_GOOD,excuse fits,excusa encaja
APOLOGY_BAD,bad apology,mala disculpa
APOLOGY_PART_SAFETY,safety,seguridad
APOLOGY_PART_ITERATION,iteration,iteracion
APOLOGY_PART_ALIGNMENT,alignment,alineacion
APOLOGY_PART_LEARNING,learning,aprendizaje
APOLOGY_PART_BLAME,user error,error usuario
APOLOGY_PART_VIBES,vibes,vibes
APOLOGY_PART_SILENCE,no comment,sin comentarios
APOLOGY_PART_LEGAL,legal says no,legal dice no
APOLOGY_STATUS,Parts: %d/%d  |  mistakes: %d,Partes: %d/%d  |  errores: %d
APOLOGY_SUCCESS,APOLOGY SHIPPED!,DISCULPA ENVIADA!
APOLOGY_TIMEOUT_SUCCESS,STATEMENT READY,COMUNICADO LISTO
APOLOGY_TIMEOUT_FAIL,PR PANIC,PANICO PR
APOLOGY_FAIL,APOLOGY LOOP,BUCLE DISCULPA
GAME_WAKE_PET_TITLE,Plug Server,Enchufa el servidor
GAME_WAKE_PET_DESC,Drag the loose cable into the wall outlet and power the dead machine,Arrastra el cable suelto al enchufe y enciende la maquina apagada
WAKE_PET_INSTRUCTIONS,Drag the cable into the outlet.,Arrastra el cable al enchufe.
WAKE_PET_BOARD_TITLE,Dead machine,Maquina apagada
WAKE_PET_USE,PLUG,ENCHUFAR
WAKE_PET_TUCK,PULL,TIRAR
WAKE_PET_IDLE,no power,sin energia
WAKE_PET_ASLEEP,server off,servidor apagado
WAKE_PET_AWAKE,server on,servidor encendido
WAKE_PET_GOOD_WAKE,power!,energia!
WAKE_PET_GOOD_TUCK,cable loose,cable suelto
WAKE_PET_BAD,missed outlet,enchufe fallado
WAKE_PET_ALARM,cable,cable
WAKE_PET_COFFEE,outlet,enchufe
WAKE_PET_TOKEN_SNACK,screen,pantalla
WAKE_PET_SUNBEAM,power,energia
WAKE_PET_DEBUG_WALK,boot,arranque
WAKE_PET_BLANKET,dark screen,pantalla negra
WAKE_PET_LULLABY,dead port,puerto muerto
WAKE_PET_SNOOZE,loose plug,clavija suelta
WAKE_PET_WARM_CACHE,cold rack,rack frio
WAKE_PET_STATUS,Power: %d/%d  |  mistakes: %d,Energia: %d/%d  |  errores: %d
WAKE_PET_SUCCESS,POWER ON!,ENCENDIDO!
WAKE_PET_TIMEOUT_SUCCESS,SERVER ON,SERVIDOR ON
WAKE_PET_TIMEOUT_FAIL,NO POWER,SIN ENERGIA
WAKE_PET_FAIL,CABLE LOST,CABLE PERDIDO
